"Test Case ID","Module","Scenario","Preconditions","Steps","Test Data","Expected Result","Priority","Type"
"CP-001","CartProduct","Render cart product card with product details","User is on checkout page and cart contains at least one standard product","1. Open checkout page. 2. Observe the cart item row.","Product with name, qty, tax, and image","Product card is displayed with product name, editable price area, tax chip, quantity input, plus button, minus button, and delete button.","High","Functional/UI"
"CP-002","CartProduct","Show placeholder image when product image is missing","User is on checkout page and cart contains a product without `item_image`","1. Open checkout page. 2. Locate the product without image.","Product where `item_image` is empty or null","Placeholder image from `/assets/images/shop-placeholder.png` is displayed instead of a broken image.","Medium","UI"
"CP-003","CartProduct","Show returning invoice label","Redux `returnData.success` is true and `returnData.invoice` is available","1. Open checkout page with return flow data loaded.","Return invoice number, for example `RET-1001`","Text `Returning Invoice #<invoice>` is displayed above the cart list.","High","Functional/UI"
"CP-004","CartProduct","Show editing invoice label","Redux `editData.success` is true and `editData.invoice` is available","1. Open checkout page with edit flow data loaded.","Edit invoice number, for example `ED-204`","Text `Editing Invoice #<invoice>` is displayed above the cart list.","Medium","Functional/UI"
"CP-005","CartProduct","Show exchanging invoice label","Redux `exchange.data.success` is true and `exchange.data.invoice_no` is available","1. Open checkout page with exchange flow data loaded.","Exchange invoice number, for example `EX-555`","Text `Exchanging Invoice #<invoice_no>` is displayed above the cart list.","High","Functional/UI"
"CP-006","CartProduct","Show exchange chip for exchange product","Cart contains a product with `isExchange = true`","1. Open checkout page. 2. Locate the exchange item.","Exchange product","`Exchanging` chip is shown on the product card.","High","Functional/UI"
"CP-007","CartProduct","Show FREE chip when rule qualifies a free product","At least one cart item contains rule data with `free_item = 1`, cart total is greater than `amt_spend`, and another product id matches `free_product`","1. Open checkout page with qualifying rule/cart total. 2. Locate matched product.","Rule-configured free product","The matched product displays a `FREE` chip.","High","Functional/UI"
"CP-008","CartProduct","Remove a product from cart","Cart contains at least one product","1. Click the delete icon on a cart item.","Any non-exchange, non-credit-note product","Selected product is removed from cart. Payment mode is cleared. Applied discount and customer data are cleared for new sale flow.","High","Functional"
"CP-009","CartProduct","Increase quantity for normal product","Cart contains a product with `accept_weight = 0`","1. Click the plus icon for the product.","Standard product with qty 1","Product quantity increases by 1. Payment mode is cleared. Applied discount and customer data are cleared for new sale flow.","High","Functional"
"CP-010","CartProduct","Decrease quantity for normal product","Cart contains a product with `accept_weight = 0` and qty greater than 1","1. Click the minus icon for the product.","Standard product with qty 2","Product quantity decreases by 1. Payment mode is cleared. Applied discount and customer data are cleared for new sale flow.","High","Functional"
"CP-011","CartProduct","Manual quantity entry rounds value for non-weight product","Cart contains a product with `accept_weight = 0`","1. Click inside quantity input. 2. Enter a decimal value such as `2.6`.","Qty `2.6`","Quantity is updated to rounded integer value `3`.","High","Functional/Validation"
"CP-012","CartProduct","Manual quantity entry keeps decimal for weight product","Cart contains a product with `accept_weight = 1`","1. Click inside quantity input. 2. Enter a decimal value such as `2.35`.","Qty `2.35`","Quantity is updated to exact entered decimal value `2.35`. Minus and plus buttons are not shown for this item.","High","Functional/Validation"
"CP-013","CartProduct","Prevent zero or negative quantity entry","Cart contains any product","1. Enter `0` in quantity field. 2. Repeat with `-1`.","Qty `0` and `-1`","Warning snackbar appears with message `Qty cannot be 0!`. Component sends quantity update as `0`.","High","Validation/UI"
"CP-014","CartProduct","Close warning snackbar manually","Snackbar is visible after entering invalid quantity","1. Click the snackbar close icon.","N/A","Snackbar closes immediately.","Low","UI"
"CP-015","CartProduct","Do not close snackbar on clickaway","Snackbar is visible after entering invalid quantity","1. Trigger snackbar clickaway behavior.","N/A","Snackbar remains open when close reason is `clickaway`.","Low","UI"
"CP-016","CartProduct","Show weight sync action instead of plus/minus for weighted item","Cart contains a product with `accept_weight = 1`","1. Open checkout page. 2. Locate weighted product.","Weighted product","Plus and minus quantity buttons are hidden. Sync icon with tooltip `Get weight from scale` is displayed.","High","UI"
"CP-017","CartProduct","Capture weight from scale and update quantity","Cart contains a product with `accept_weight = 1` and scale API returns success","1. Click sync icon. 2. Wait for scale response.","API response `{ value: 1.275 }`","Quantity is updated to `1.275` for the selected weighted product.","High","Functional/API"
"CP-018","CartProduct","Handle scale API failure gracefully","Cart contains a product with `accept_weight = 1` and scale API fails","1. Click sync icon. 2. Simulate API/network failure.","Rejected API call","Application does not crash. Error is logged in console. Existing quantity remains unchanged.","Medium","Negative/API"
"CP-019","CartProduct","Do not clear discount/customer data for exchange or credit-note item quantity change","Cart contains a product where `isExchange = true` or `isCreditNote = true`","1. Change qty using plus, minus, or input update.","Exchange or credit-note product","Quantity changes successfully, but discount/customer-clearing logic is not triggered for that item.","High","Functional/Business Rule"
"CP-020","CartProduct","Display rounded tax percentage chip","Cart contains product with decimal tax value","1. Open checkout page. 2. Observe tax chip.","Tax `17.6`","Tax chip is shown as `Tax 18%`.","Medium","UI"
"CP-021","CartProduct","Recalculate tax when tax change rules are enabled with minimum threshold","Tax change feature is enabled, minimum amount and percentage are configured, and product discounted price is below threshold","1. Load cart with applicable product. 2. Trigger component effect by rendering or updating cart.","Config with min tax amount/percent and discounted price below threshold","Component recalculates product price/tax using configured minimum-threshold tax and updates cart price when tax changes.","High","Functional/Business Rule"
"CP-022","CartProduct","Recalculate tax when tax change rules are enabled with maximum threshold","Tax change feature is enabled, maximum amount and percentage are configured, and product discounted price is at or above threshold","1. Load cart with applicable product. 2. Trigger component effect by rendering or updating cart.","Config with max tax amount/percent and discounted price above threshold","Component recalculates product price/tax using configured maximum-threshold tax and updates cart price when tax changes.","High","Functional/Business Rule"
"CP-023","CartProduct","Trigger return rule calculation when returning cart changes","`returnData` exists, rules are available, returning cart has changed, and `startRule` is false","1. Load checkout page in return mode with changed cart.","Return cart with rules","`startRuleCalculation(true)` is dispatched so return rules can be recalculated.","High","Functional/Business Rule"
"CP-024","CartProduct","Clear customer data on initial component load","Checkout page opens and CartProduct mounts","1. Navigate to checkout page containing CartProduct.","N/A","Customer data clear action is dispatched once on component mount.","Medium","Functional"
